,Golden_grains
0,1137596.0830225912
1,1460009.4899252858
2,1513781.5942116668
3,1472615.510283385
4,1417145.3057566034
5,1251854.7667252517
6,1312336.5021166983
7,1169512.7650620595
8,1157026.4631587905
9,1194398.5571381564
10,1134098.027569255
11,1198721.0647933958
12,1381831.0091205814
13,1573888.313070858
14,1351975.0866853483
15,1353194.8107419338
16,1420585.5909859664
17,1199988.2738793374
18,1365077.9765254864
19,1115754.696682928
20,1328611.8208219616
21,1203472.4104036014
22,1436655.5924929045
23,1147482.0810637798
24,1295431.8579321997
25,1446417.2944755699
26,1213312.0358837692
27,1131974.465217416
28,1435523.4857867316
29,1340417.4651984489
30,1094273.3198739581
31,1327764.654417714
32,1424640.3564776296
33,1375153.0064064777
34,1176740.4369035768
35,1464289.6128908386
36,1243098.2612351961
37,1381571.8554444106
38,1246757.52450124
39,1458092.7004274772
40,1352569.2558013054
41,1487204.04668079
42,1426218.2580698002
43,912532.5660575092
44,1480934.4488277503
45,1122251.4538958974
46,1297312.306758807
47,1406550.0727020914
48,1298525.56746069
49,1215719.7202055214
50,1458268.2324918036
51,1390005.28585251
52,1476559.3862801318
53,1467157.2793487976
54,1215451.54114823
55,1171687.711013382
56,1149977.8354716375
57,1512649.9863189028
58,1175168.8489147443
59,1061006.8708541144
60,1513008.0952278902
61,1481467.693848543
62,1295804.626844258
63,1100852.8886190436
64,1335545.6841510492
65,1265232.2544272065
66,1504874.290378368
67,1467150.747643503
68,1426319.405955707
69,1338886.6623054547
70,1419310.9739360798
71,1446654.8965450912
72,1019651.004512552
73,1075874.101297555
74,1332665.7848761014
75,1273542.5532309485
76,1428172.9824805781
77,1288673.2276189006
78,1291119.4534813366
79,1221990.4510749409
80,1390977.9677427853
81,1447788.4060462622
82,1280860.310685123
83,898168.856977944
84,1391558.815476706
85,1404687.0613075525
86,1337904.3968193233
87,1475029.6599240806
88,1243677.0479319552
89,1379073.5995986243
90,1418159.836213279
91,1473681.6416662943
92,1299315.4096344297
93,1323271.2352516837
94,1220428.9849948331
95,1384014.620648802
96,1373887.3276005934
97,1403475.9740911925
98,1264161.5516568415
99,1380252.3330057964
100,1200548.1389130843
101,1414736.183483229
102,1387430.2646842278
103,1467061.242346807
104,1327142.6830573368
105,1310653.6154843732
106,1414203.9688952006
107,1237984.7342624883
108,1469221.0292429577
109,1036140.503492957
110,1296770.28156487
111,1221947.711226375
112,1367804.9784711392
113,1474881.1136999554
114,1486503.0493214487
115,1386868.6534979034
116,988297.8430019512
117,1283340.0331677678
118,1547043.325328463
119,1426884.1777776852
120,1234210.4255504722
121,1165591.7406065336
122,1151166.9655984084
123,1141869.6547951782
124,1194014.9379636764
125,1283147.2587067029
126,1260768.6629647207
127,1283680.2779220294
128,1134023.4120287232
129,1488387.2701935205
130,968097.6474675172
131,1362359.9251053245
132,1255870.2680379087
133,1328371.6132258098
134,1336077.4122676582
135,1415186.7171376005
136,1027092.0338408159
137,1273696.6656422468
138,1138903.8934005955
139,1324689.5828303478
140,1501871.1260792778
141,1220237.2487163995
142,1523795.8603162146
143,1372365.4074230674
144,1511358.260508032
145,1492414.8096285488
146,1369401.7105471976
147,1286016.4403189605
148,980883.1537853506
149,1393561.8364925925
150,1551128.249441504
151,1438430.2115588663
152,1390333.4263320337
153,1371290.0334835993
154,1411965.3713679714
155,1365035.7852905574
156,1152673.5529848565
157,1190523.0772906344
158,1441110.4980603931
159,1107768.752878961
160,1277858.1379910554
161,1222623.1525557567
162,1536849.1790995062
163,1323356.6520362864
164,1474790.3996572003
165,1182618.7808355216
166,1031485.0704136787
167,1442354.740441152
168,1206019.1910563821
169,1223870.7516443743
170,1442097.748967514
171,1332289.4893297765
172,1024051.2923517096
173,1055604.741897052
174,1363296.0796872857
175,1313539.7826219485
176,1457151.3657999393
177,1165078.1635423182
178,1335442.0680524537
179,1493017.9325431213
180,1308383.1359826508
181,1450335.4969937862
182,1376587.2821514218
183,1222848.0519655775
184,1025576.2043887243
185,1192488.5368239924
186,1130068.1495677799
187,1437386.3828573506
188,1436822.7953310737
189,1146929.5175131266
190,1457873.6362681056
191,1436124.8107517285
192,1488752.2458510336
193,1178516.9871386788
194,1427835.9733258549
195,1083801.5580129218
196,1428060.8879251173
197,1105228.3483624537
198,1150139.3109475719
199,1323712.6067871111
200,1263019.5763539425
201,1508156.3017631085
202,1554505.88647745
203,1517060.0051915997
204,1461361.550316695
205,1126418.8719831828
206,1364686.082785336
207,1403210.1162738188
208,1250727.1737870686
209,1344295.5822508533
210,1197245.037281397
211,1438754.1303553695
212,934404.9955672325
213,1334558.2419257415
214,1288539.851097994
215,1525305.3183898875
216,1417198.2752220032
217,1381207.4313578212
218,1003369.8162540414
219,1299265.1297831654
220,1073343.517593167
221,1277402.7695207256
222,1095641.022637816
223,1478875.8702725144
224,1465453.2351214956
225,1164122.2166056684
226,1177251.4701286631
227,1370356.8008544538
228,1409996.2048386363
229,1386833.1120900917
230,1403791.9981107656
231,1355563.6046098287
232,1509846.0132733693
233,1437334.0085646152
234,1338497.107839371
235,1448521.7343232217
236,1242704.8992429208
237,1570935.3923244497
238,1255389.1373018287
239,1308698.979354677
240,1117267.7724828687
241,1529451.3674914665
242,1509775.9511925215
243,1281047.3192034962
244,1458720.2686025456
245,1473796.4188312436
246,1446690.7803648266
247,1251665.4035756465
248,1349120.2421939615
249,1434784.0635999779
250,1585987.5736392383
251,1390702.9167698843
252,1369411.3093482913
253,1370882.613930897
254,1463853.8255031311
255,1266913.3368399737
256,1143095.056944992
257,1416607.7021602388
258,1348870.568516506
259,1225422.5616878315
260,1176359.3023910408
261,1285775.3065227324
262,1581690.6085543134
263,1399602.943648388
264,1121769.640714649
265,1197503.3952321035
266,1266242.350985952
267,1201067.2163884062
268,1206410.789667452
269,1120571.6252869037
270,1051370.2577822304
271,1448143.1911756743
272,1280073.3716361031
273,1249808.9339648562
274,1353598.6851049718
275,1621453.2555639634
276,1148007.2761331394
277,1321559.7476210056
278,1376896.981759281
279,1093459.756493766
280,1129839.261039958
281,1462327.7642347491
282,1068555.0679139781
283,1442417.4136766028
284,1320128.1440916697
285,1212581.839930171
286,1354712.8676682592
287,1100062.6874084196
288,1430798.395000765
289,1420170.0559070788
290,1465459.082728211
291,908674.8388234454
292,1294063.0646625059
293,1431992.2306517672
294,1459286.4678137403
295,1076830.5713479735
296,1463127.4471949888
297,1337675.483648571
298,1465285.7735212573
299,1387698.8101990137
300,1520543.5925563949
301,1227271.2695832152
302,1094798.7868902113
303,1196442.068292553
304,1429019.8151182572
305,1453730.264580606
306,1503668.4226965297
307,1275431.0175675652
308,1537459.7631037743
309,1406069.301740346
310,1479444.1883788626
311,1329710.7215404015
312,1317874.8845263452
313,1182003.9842455047
314,1347221.9467956354
315,1472962.8577815015
316,1329939.6265935642
317,1457402.084676192
318,1331741.7983479681
319,1514410.2265968362
320,1483452.8739915048
321,1389611.7825224807
322,1305112.5267809846
323,1433722.6837916016
324,1574482.3743095596
325,1434072.18029515
326,1378029.6402721559
327,1239137.2698713453
328,1371152.2375031824
329,1359703.0877803792
330,1332888.007875046
331,1033606.5465052922
332,1557575.793351688
333,1524098.3862276939
334,1453129.8172119418
335,1369727.3199799177
336,1443389.3685316744
337,1063653.6721025086
338,1317321.498615302
339,1471817.0046699347
340,1438689.7927522606
341,1454465.3930522546
342,1334932.1104891105
343,1425445.700835146
344,1349492.9211262097
345,1544004.9355261999
346,1516340.633105361
347,1468622.7873968505
348,1192643.9634686718
349,1333552.8028511456
350,1402597.8322912646
351,1350117.237954049
352,1418015.747187609
353,1362232.5693554005
354,1446535.3787327826
355,1340941.6050221652
356,1236229.8887635828
357,1550905.311799146
358,1278372.1318001729
359,1377867.8096962194
360,1278050.5799626
361,1373494.0385889295
362,1512148.82017644
363,1231918.657447191
364,1276936.0014540663
365,1129491.4531050485
366,1568162.5421628696
367,1482975.1412528767
368,1163751.408232607
369,1500735.6820476027
370,1347117.4514500238
371,1390032.8470007984
372,1482600.1933436168
373,1475704.3520573308
374,1332822.5408910275
375,1196175.1233042004
376,868117.105968192
377,1365579.236616881
378,1315650.4331263325
379,1386785.159173018
380,1063116.3173921562
381,1359444.8180193596
382,1448347.0311760192
383,1169474.8795116008
384,1462834.8676285802
385,1239699.7139958611
386,1351901.2649667775
387,1494895.7011585599
388,1441738.2124428628
389,1319892.6794616743
390,1521470.0146586904
391,957909.5967111639
392,1294373.7008818474
393,1209447.0446381585
394,1364779.0839699411
395,1358550.0372094184
396,1362128.5593396637
397,1407880.8504977592
398,1241819.690576681
399,1447124.0575099634
400,1239299.539166055
401,1420318.9826936775
402,1557403.3586142613
403,1264126.5761097874
404,1282800.318984373
405,1428115.5070204325
406,1278375.7946208185
407,1421711.2540158876
408,1370750.8182572857
409,1462196.5177923944
410,1290885.2355516807
411,1079603.6610085259
412,1367824.6803059846
413,1397489.8781670576
414,1365553.0392858232
415,1263717.1894250487
416,1501513.6471231345
417,1415184.7203290826
418,1423786.7038508535
419,1236996.0782123907
420,1001774.829593678
421,1365425.1507541512
422,877504.636100851
423,1323892.5242193753
424,1404457.5862923735
425,1313285.751775052
426,1304339.8973600436
427,1518499.4656942678
428,1342999.0954750914
429,1412764.5406596833
430,1432735.475645004
431,1249288.628650821
432,1280428.627562876
433,1505422.2298712195
434,1198571.1497848881
435,1401892.4901945032
436,1328938.1906569123
437,1407407.5218202197
438,1059723.2462653508
439,1336179.5579211104
440,1240925.1810142666
441,1409193.7499801938
442,1476110.6272963835
443,1291325.6088234023
444,1087506.4778124816
445,1271154.87157994
446,1369675.786539922
447,1235364.5130228694
448,1426667.8180372966
449,1315926.1878229852
450,1435911.0358708792
451,1076174.1155293344
452,1154699.364151326
453,1148495.0671319377
454,951288.8356476147
455,1447910.1162613805
456,1177816.543354304
457,1376775.3476177806
458,1418269.2888847708
459,1417956.2748509825
460,1483492.2591173335
461,1443760.10930467
462,1441439.5186411026
463,1456737.7249632396
464,1260491.299146705
465,1506839.8259748078
466,1285973.3525233262
