,House ID,bathrooms,bedrooms,blessings,builder,capital_distance,date,dining_rooms,dock_distance,farm,garden,holy_tree,king_visited,knights_house_distance,location,market_distance,renovation,river_distance,sorceror_cursed,tower_distance
1026,1848889393.0,3.0,2.0,96.0,8.0,63.936036,-1.0,3.0,105.449712,1.0,0.0,1.0,0.0,74.374435,-1.0,25.687517,-1.0,32.971288,1.0,124.65638
6147,1848889399.0,2.0,4.0,143.0,3.0,16.64888,-1.0,2.0,10.028074,2.0,0.0,1.0,0.0,26.829076,3.0,-1.0,1.0,53.604283,1.0,148.90642
1040,1848889405.0,3.0,3.0,151.0,6.0,8.799759,-1.0,-1.0,46.697442,1.0,-1.0,1.0,0.0,19.695117,4.0,33.37457,0.0,7.347228,-1.0,118.027166
6148,1848889411.0,3.0,2.0,151.0,3.0,8.831161,-1.0,2.0,9.797009,2.0,0.0,-1.0,0.0,19.754366,3.0,9.624204,-1.0,24.799455,1.0,123.956946
965,1848889413.0,2.0,3.0,127.0,5.0,32.903303,-1.0,3.0,51.3719,1.0,-1.0,1.0,0.0,43.394001,3.0,-1.0,1.0,5.552861,1.0,86.886693
6149,1848889417.0,2.0,2.0,108.0,3.0,51.848417,-1.0,4.0,29.824765,1.0,0.0,0.0,0.0,62.725473,-1.0,23.007202,0.0,20.721687,0.0,63.369694
6150,1848889421.0,2.0,2.0,113.0,3.0,47.098394,-1.0,2.0,31.737892,1.0,0.0,1.0,0.0,57.670889,3.0,41.647926,0.0,1.551319,1.0,76.754042
1074,1848889425.0,4.0,2.0,94.0,1.0,66.36172,-1.0,3.0,13.943795,1.0,0.0,1.0,0.0,76.513349,-1.0,17.472071,0.0,78.604543,1.0,54.192768
6151,1848889427.0,3.0,3.0,90.0,3.0,69.996626,-1.0,2.0,23.340074,1.0,0.0,1.0,0.0,80.100069,3.0,144.284363,0.0,36.137882,1.0,19.646201
6152,1848889429.0,3.0,3.0,78.0,3.0,81.504617,-1.0,2.0,24.864534,1.0,0.0,-1.0,0.0,91.716362,3.0,7.256853,0.0,4.489005,1.0,87.784779
1148,1848889435.0,3.0,2.0,89.0,-1.0,70.629417,-1.0,4.0,56.076117,0.0,1.0,-1.0,-1.0,80.703305,1.0,23.505534,0.0,34.602744,1.0,112.628583
1041,1848889439.0,2.0,4.0,68.0,6.0,92.062769,-1.0,-1.0,75.526194,2.0,0.0,1.0,0.0,102.206664,2.0,17.502729,-1.0,8.725384,0.0,27.60508
6153,1848889442.0,2.0,4.0,131.0,3.0,28.979986,-1.0,2.0,28.099981,2.0,0.0,1.0,0.0,39.791477,2.0,9.631617,0.0,76.731214,1.0,70.14495
1042,1848889445.0,4.0,4.0,156.0,6.0,3.568472,-1.0,2.0,67.129268,2.0,0.0,1.0,0.0,14.462565,4.0,21.059359,1.0,6.367398,1.0,103.032488
6154,1848889447.0,4.0,2.0,137.0,3.0,22.968255,-1.0,4.0,83.371135,1.0,0.0,1.0,0.0,33.203494,3.0,114.625375,0.0,16.42052,1.0,45.847144
6155,1848889451.0,3.0,2.0,153.0,3.0,6.760461,-1.0,-1.0,66.589529,1.0,0.0,-1.0,0.0,17.548513,3.0,139.326791,0.0,17.13241,1.0,84.306716
1027,1848889457.0,3.0,3.0,144.0,8.0,15.798607,-1.0,2.0,74.87872,1.0,0.0,1.0,0.0,26.498172,4.0,10.766266,0.0,32.40384,1.0,146.599966
