,House ID,bathrooms,bedrooms,blessings,builder,capital_distance,dateb,dining_rooms,dock_distance,farm,garden,holy_tree,king_visited,knights_house_distance,location,market_distance,renovation,river_distance,sorceror_cursed,tower_distance,golden_grains
0,1848823488.0,-1.0,4.0,160.0,1.0,0.256239,-1.0,3.0,138.600639,1.0,0.0,1.0,0.0,10.505662,4.0,69.486467,0.0,63.109038,1.0,14.394903,1470912.0
1,1848823492.0,-1.0,4.0,133.0,8.0,26.882222,-1.0,2.0,16.254871,0.0,1.0,-1.0,1.0,37.249456,3.0,34.145238,0.0,53.249336,1.0,101.052598,1241030.0
2,1848823497.0,2.0,-1.0,24.0,-1.0,136.448973,-1.0,3.0,6.555428,1.0,0.0,1.0,0.0,146.553349,-1.0,78.445508,0.0,72.245533,1.0,88.480988,838723.0
3,1848823502.0,2.0,2.0,140.0,4.0,19.885265,-1.0,2.0,79.72455,1.0,0.0,-1.0,0.0,29.921162,3.0,92.698917,0.0,8.059939,1.0,22.395136,1267804.0
4,1848823505.0,2.0,2.0,159.0,3.0,0.519507,-1.0,3.0,101.541256,2.0,0.0,1.0,0.0,10.85578,3.0,3.605055,0.0,35.706541,1.0,81.449646,1497166.0
5,1848823507.0,4.0,2.0,152.0,3.0,7.575922,-1.0,-1.0,48.601612,1.0,0.0,1.0,0.0,18.378692,4.0,32.236989,0.0,72.111768,1.0,47.180399,1428460.0
6,1848823509.0,2.0,2.0,158.0,9.0,1.95597,-1.0,3.0,32.624227,2.0,0.0,1.0,0.0,12.389964,2.0,88.485147,0.0,33.929217,1.0,77.692256,1453568.0
7,1848823511.0,3.0,3.0,144.0,2.0,15.776747,-1.0,-1.0,84.170405,2.0,0.0,1.0,0.0,26.231919,2.0,62.816373,0.0,27.379252,1.0,51.870346,1381186.0
8,1848823514.0,3.0,3.0,37.0,1.0,122.930753,-1.0,4.0,10.998322,2.0,0.0,1.0,0.0,132.934312,3.0,63.794375,0.0,17.045949,1.0,53.019891,1052137.0
9,1848823517.0,3.0,3.0,157.0,0.0,2.809867,-1.0,3.0,60.265361,1.0,0.0,1.0,0.0,13.188134,2.0,23.701329,-1.0,36.93498,1.0,89.658984,1473032.0
10,1848823519.0,2.0,2.0,157.0,8.0,2.738666,-1.0,3.0,11.938817,1.0,0.0,-1.0,0.0,13.151035,2.0,5.58977,1.0,17.666228,1.0,12.033816,1442065.0
11,1848823524.0,2.0,3.0,160.0,9.0,0.212412,-1.0,4.0,13.986232,2.0,0.0,1.0,0.0,10.794902,3.0,20.485516,0.0,78.94806,1.0,138.362509,1583875.0
12,1848823529.0,4.0,3.0,155.0,-1.0,5.128739,-1.0,2.0,38.977167,1.0,-1.0,-1.0,0.0,15.41681,4.0,44.068565,0.0,20.965323,1.0,152.377106,1430528.0
13,1848823531.0,4.0,2.0,74.0,-1.0,85.723029,-1.0,2.0,135.364314,1.0,0.0,-1.0,0.0,96.158416,3.0,-1.0,0.0,19.19682,1.0,48.236597,957702.0
14,1848823533.0,3.0,2.0,135.0,7.0,24.762207,-1.0,4.0,23.614598,1.0,0.0,1.0,0.0,35.537406,3.0,84.008876,0.0,7.69931,1.0,-1.0,1330487.0
15,1848823539.0,2.0,4.0,137.0,9.0,23.338276,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,34.143765,1.0,126.491446,0.0,0.630053,1.0,128.876997,1309373.0
16,1848823545.0,2.0,4.0,92.0,8.0,68.371189,-1.0,-1.0,35.488288,1.0,0.0,0.0,0.0,78.519339,1.0,44.62349,0.0,37.27244,0.0,20.89483,1109247.0
17,1848823548.0,4.0,3.0,93.0,2.0,67.341891,-1.0,4.0,57.719253,1.0,0.0,1.0,0.0,77.701631,2.0,-1.0,0.0,71.789958,1.0,119.177337,1185887.0
18,1848823550.0,4.0,3.0,93.0,3.0,66.593962,-1.0,3.0,43.15605,1.0,0.0,1.0,0.0,77.473677,3.0,16.472091,1.0,42.888742,1.0,62.472761,1219965.0
19,1848823553.0,2.0,2.0,108.0,8.0,52.209955,-1.0,4.0,81.58993,1.0,0.0,1.0,0.0,62.646237,-1.0,2.228096,1.0,10.558469,1.0,125.088833,1322296.0
20,1848823559.0,4.0,4.0,139.0,3.0,20.748392,-1.0,4.0,-1.0,1.0,0.0,-1.0,0.0,31.432421,4.0,70.848219,0.0,16.919434,1.0,69.096122,1468637.0
21,1848823561.0,3.0,2.0,79.0,1.0,80.970959,-1.0,2.0,52.819705,1.0,0.0,1.0,0.0,91.425357,1.0,96.656914,0.0,6.548119,1.0,70.965631,1017577.0
22,1848823566.0,3.0,3.0,94.0,7.0,65.509891,-1.0,2.0,60.198424,2.0,0.0,1.0,0.0,76.231255,3.0,108.357045,0.0,52.220719,1.0,179.275253,1150209.0
23,1848823568.0,3.0,4.0,159.0,0.0,0.531688,-1.0,3.0,31.038516,1.0,0.0,1.0,0.0,11.402158,1.0,115.459079,0.0,53.012429,1.0,117.597482,1351400.0
24,1848823571.0,2.0,2.0,89.0,3.0,70.864401,-1.0,2.0,85.472652,1.0,0.0,1.0,0.0,81.862921,2.0,13.310768,1.0,3.079892,-1.0,21.514952,1226995.0
25,1848823575.0,3.0,2.0,159.0,3.0,1.034696,-1.0,3.0,18.69285,1.0,-1.0,-1.0,0.0,11.447193,1.0,68.243586,0.0,55.267216,1.0,-1.0,1328810.0
26,1848823578.0,3.0,2.0,105.0,7.0,54.728789,-1.0,4.0,11.585549,1.0,0.0,-1.0,0.0,65.333281,3.0,13.620052,0.0,38.447667,1.0,12.494618,1273623.0
27,1848823584.0,4.0,3.0,135.0,4.0,25.106037,-1.0,4.0,145.034612,1.0,0.0,1.0,0.0,36.084848,3.0,141.942752,0.0,21.44816,1.0,24.82466,1263657.0
28,1848823590.0,4.0,4.0,135.0,2.0,25.097674,-1.0,2.0,1.072398,1.0,0.0,1.0,0.0,35.225807,3.0,60.114222,0.0,46.328111,1.0,143.926651,1386556.0
29,1848823594.0,4.0,4.0,143.0,3.0,16.519207,-1.0,3.0,27.395888,1.0,0.0,1.0,0.0,26.808392,-1.0,21.911712,-1.0,10.327582,1.0,36.647534,1620012.0
30,1848823599.0,4.0,4.0,100.0,3.0,60.315918,-1.0,3.0,83.884547,0.0,1.0,1.0,1.0,70.653917,3.0,74.440462,1.0,3.659866,1.0,14.186489,1339790.0
31,1848823602.0,3.0,4.0,34.0,3.0,125.909425,-1.0,4.0,14.335892,1.0,0.0,0.0,0.0,136.481039,1.0,13.760539,0.0,14.833137,0.0,14.041083,1053131.0
32,1848823605.0,4.0,4.0,145.0,6.0,14.771254,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,25.249336,3.0,47.208782,0.0,57.998381,1.0,143.697581,1437162.0
33,1848823607.0,4.0,2.0,151.0,3.0,8.87772,-1.0,3.0,26.56988,1.0,0.0,1.0,0.0,19.658196,3.0,132.820614,0.0,35.378385,1.0,78.734685,1386055.0
34,1848823611.0,4.0,2.0,128.0,0.0,31.803728,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,42.522518,-1.0,76.911213,0.0,27.337864,1.0,67.482017,1274727.0
35,1848823613.0,4.0,2.0,156.0,3.0,3.694051,-1.0,3.0,31.795669,1.0,0.0,1.0,0.0,13.72868,3.0,45.184515,0.0,7.53747,1.0,215.291212,1452049.0
36,1848823615.0,4.0,2.0,72.0,3.0,87.711658,-1.0,2.0,46.037313,1.0,0.0,1.0,0.0,97.72198,3.0,48.592949,0.0,67.690842,1.0,206.456805,1084410.0
37,1848823621.0,4.0,3.0,154.0,3.0,6.412423,-1.0,3.0,6.664954,1.0,0.0,1.0,0.0,16.99148,3.0,61.399993,0.0,8.780965,1.0,118.533229,1495850.0
38,1848823623.0,3.0,2.0,132.0,3.0,27.528001,-1.0,2.0,12.540865,2.0,-1.0,1.0,0.0,37.882273,1.0,132.196721,0.0,41.822487,1.0,102.179942,1240531.0
39,1848823627.0,4.0,3.0,155.0,5.0,5.051018,-1.0,3.0,26.910972,1.0,0.0,-1.0,0.0,15.775998,2.0,95.267946,0.0,42.63296,0.0,124.213778,1315905.0
40,1848823633.0,4.0,3.0,133.0,3.0,26.532328,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,36.682973,2.0,12.94138,0.0,27.094843,1.0,27.03828,1434583.0
41,1848823639.0,3.0,4.0,145.0,6.0,15.220463,-1.0,4.0,24.658268,2.0,0.0,0.0,0.0,25.854943,3.0,81.003364,0.0,20.10387,0.0,234.799022,1485374.0
42,1848823643.0,3.0,-1.0,147.0,6.0,12.733926,-1.0,2.0,1.122904,0.0,1.0,-1.0,1.0,23.563624,3.0,18.667091,-1.0,4.094995,1.0,50.964912,1419395.0
43,1848823647.0,3.0,3.0,61.0,0.0,98.652182,-1.0,2.0,8.938509,2.0,0.0,1.0,0.0,109.422107,2.0,70.194408,1.0,60.819794,1.0,84.156413,1048217.0
44,1848823651.0,-1.0,3.0,61.0,5.0,98.765114,-1.0,3.0,3.246707,2.0,0.0,1.0,0.0,109.293587,3.0,150.032514,0.0,6.41729,1.0,205.231808,1082473.0
45,1848823655.0,4.0,2.0,129.0,3.0,31.16518,-1.0,2.0,119.1877,1.0,0.0,1.0,0.0,41.673909,-1.0,2.913328,0.0,24.478625,1.0,183.857944,1255892.0
46,1848823661.0,2.0,3.0,146.0,3.0,14.148026,-1.0,4.0,63.861157,1.0,0.0,1.0,0.0,24.819694,2.0,23.545431,0.0,36.686379,1.0,88.662829,1414831.0
47,1848823664.0,3.0,3.0,98.0,-1.0,61.604752,-1.0,3.0,-1.0,2.0,0.0,1.0,0.0,72.449136,3.0,85.026054,-1.0,17.494191,1.0,111.073489,1195212.0
48,1848823667.0,2.0,2.0,139.0,3.0,20.800243,-1.0,3.0,18.839709,1.0,0.0,1.0,0.0,31.21515,4.0,129.162646,-1.0,51.55232,1.0,14.489745,1360914.0
49,1848823670.0,3.0,2.0,73.0,4.0,87.174747,-1.0,2.0,54.645921,1.0,0.0,0.0,0.0,98.032248,1.0,16.476015,0.0,2.980832,0.0,59.149911,1136222.0
50,1848823676.0,2.0,2.0,48.0,4.0,111.965941,-1.0,3.0,151.105728,1.0,0.0,1.0,0.0,122.889439,2.0,99.671185,0.0,9.879558,1.0,72.036244,837994.0
51,1848823680.0,3.0,4.0,132.0,4.0,27.953048,-1.0,3.0,11.666815,1.0,0.0,-1.0,0.0,38.774105,3.0,50.869864,0.0,13.758185,1.0,7.977065,1426681.0
52,1848823686.0,2.0,2.0,147.0,3.0,12.801883,-1.0,2.0,91.995895,1.0,0.0,1.0,0.0,23.422529,3.0,36.038488,1.0,6.483024,1.0,65.958943,1377761.0
53,1848823692.0,3.0,4.0,136.0,-1.0,24.365967,-1.0,3.0,28.097092,1.0,-1.0,1.0,0.0,35.355721,3.0,47.656262,0.0,29.957674,1.0,27.19059,1540500.0
54,1848823698.0,-1.0,2.0,136.0,7.0,23.760392,-1.0,-1.0,11.38196,1.0,-1.0,0.0,0.0,34.292892,3.0,32.981737,0.0,21.011419,0.0,67.083665,1370730.0
55,1848823700.0,3.0,2.0,123.0,-1.0,37.491263,-1.0,2.0,34.380313,1.0,0.0,1.0,0.0,47.990319,3.0,73.30761,0.0,8.596491,-1.0,213.518082,1274514.0
56,1848823704.0,2.0,4.0,139.0,-1.0,21.289962,-1.0,4.0,35.572115,2.0,0.0,0.0,0.0,31.422184,2.0,15.138499,0.0,25.023969,0.0,219.322458,1406518.0
57,1848823709.0,2.0,4.0,40.0,-1.0,119.778364,-1.0,4.0,57.230995,2.0,0.0,0.0,0.0,130.205692,1.0,1.543217,0.0,43.794177,0.0,45.556787,1106558.0
58,1848823711.0,4.0,2.0,103.0,3.0,56.883775,-1.0,3.0,-1.0,1.0,0.0,0.0,0.0,67.637545,3.0,2.550933,0.0,9.764943,0.0,53.288066,1311503.0
59,1848823715.0,3.0,4.0,52.0,4.0,107.687755,-1.0,3.0,62.104754,1.0,0.0,1.0,0.0,118.003414,3.0,56.15136,-1.0,77.656929,-1.0,122.390194,994838.0
60,1848823721.0,3.0,2.0,156.0,1.0,4.331436,-1.0,-1.0,82.283966,1.0,0.0,0.0,0.0,14.695102,1.0,29.043012,0.0,24.298255,0.0,119.126593,1409057.0
61,1848823725.0,3.0,2.0,160.0,-1.0,0.416545,-1.0,2.0,89.226178,1.0,0.0,1.0,0.0,10.630346,3.0,83.035603,0.0,34.279911,1.0,120.919853,1359193.0
62,1848823729.0,4.0,4.0,124.0,0.0,35.698995,-1.0,3.0,34.600947,1.0,0.0,-1.0,0.0,46.459145,4.0,110.500053,0.0,41.447449,1.0,86.664647,1321611.0
63,1848823735.0,4.0,2.0,74.0,1.0,-1.0,-1.0,4.0,34.524141,1.0,0.0,1.0,0.0,-1.0,3.0,6.740951,0.0,1.821655,1.0,222.341302,1317434.0
64,1848823737.0,2.0,3.0,156.0,4.0,4.460661,-1.0,3.0,26.174476,2.0,0.0,1.0,0.0,15.207348,3.0,12.904976,0.0,43.261003,1.0,123.568064,1494069.0
65,1848823740.0,3.0,3.0,99.0,-1.0,61.310843,-1.0,4.0,17.66758,2.0,0.0,1.0,0.0,71.788989,4.0,122.809509,0.0,4.424503,1.0,128.133129,1290309.0
66,1848823744.0,3.0,4.0,110.0,6.0,49.64613,-1.0,-1.0,3.532019,2.0,0.0,1.0,0.0,60.196272,3.0,33.39117,0.0,18.551798,1.0,74.198027,1399373.0
67,1848823749.0,4.0,3.0,60.0,6.0,99.86107,-1.0,2.0,20.203496,1.0,0.0,1.0,0.0,110.478163,3.0,59.873769,1.0,1.672798,1.0,190.421617,1008656.0
68,1848823752.0,3.0,-1.0,147.0,3.0,13.134552,-1.0,2.0,27.013595,1.0,0.0,1.0,0.0,23.512504,2.0,31.489187,0.0,38.304237,-1.0,44.880304,1377460.0
69,1848823754.0,4.0,4.0,135.0,8.0,24.909507,-1.0,-1.0,4.102159,0.0,1.0,-1.0,1.0,35.117409,4.0,38.478102,0.0,55.022168,1.0,145.198089,1348625.0
70,1848823759.0,3.0,4.0,126.0,8.0,34.328906,-1.0,3.0,54.397619,1.0,0.0,-1.0,0.0,44.565672,3.0,15.621175,0.0,13.210756,1.0,43.039403,1344978.0
71,1848823763.0,4.0,3.0,107.0,7.0,52.901633,-1.0,2.0,0.550172,1.0,0.0,1.0,0.0,63.465074,3.0,114.410861,0.0,20.379008,1.0,-1.0,1167093.0
72,1848823765.0,3.0,3.0,135.0,1.0,25.065928,-1.0,3.0,38.877415,2.0,-1.0,-1.0,0.0,35.568437,2.0,-1.0,0.0,1.257721,1.0,76.196189,1333643.0
73,1848823770.0,2.0,3.0,134.0,3.0,26.137153,-1.0,3.0,11.603696,1.0,0.0,1.0,0.0,36.195189,3.0,90.88417,1.0,4.528548,1.0,122.798444,1342903.0
74,1848823774.0,3.0,-1.0,124.0,2.0,35.790417,-1.0,4.0,29.751994,1.0,0.0,1.0,0.0,46.502972,3.0,7.269568,0.0,47.287544,1.0,170.610065,1353618.0
75,1848823777.0,-1.0,2.0,159.0,3.0,0.529202,-1.0,-1.0,34.191925,1.0,0.0,1.0,0.0,11.51611,3.0,35.085326,0.0,12.546223,1.0,148.2714,1436392.0
76,1848823780.0,2.0,3.0,139.0,3.0,21.001339,-1.0,3.0,39.18463,1.0,-1.0,1.0,0.0,31.679897,3.0,49.370682,0.0,0.732612,1.0,25.958395,1450159.0
77,1848823783.0,2.0,3.0,148.0,0.0,11.632695,-1.0,4.0,60.881088,1.0,-1.0,1.0,0.0,21.737822,3.0,44.475839,0.0,15.773875,0.0,107.611778,1442146.0
78,1848823788.0,2.0,4.0,74.0,2.0,-1.0,-1.0,4.0,49.458007,0.0,1.0,-1.0,1.0,-1.0,3.0,77.048386,0.0,5.063825,1.0,96.271542,1217268.0
79,1848823790.0,3.0,2.0,74.0,6.0,-1.0,-1.0,3.0,20.487808,1.0,0.0,1.0,0.0,-1.0,4.0,29.498543,0.0,51.114954,1.0,98.529817,1350144.0
80,1848823792.0,2.0,4.0,141.0,3.0,18.792642,-1.0,2.0,-1.0,1.0,0.0,1.0,0.0,29.451655,3.0,17.693796,-1.0,37.24402,1.0,136.903733,1435316.0
81,1848823797.0,2.0,4.0,106.0,3.0,53.910195,-1.0,3.0,-1.0,1.0,-1.0,1.0,0.0,64.02721,2.0,-1.0,1.0,17.011374,1.0,72.801718,1341556.0
82,1848823801.0,2.0,2.0,110.0,3.0,50.332725,-1.0,3.0,136.474649,1.0,0.0,1.0,0.0,60.487683,3.0,140.461249,-1.0,21.920179,1.0,-1.0,1078135.0
83,1848823803.0,3.0,4.0,145.0,3.0,14.814197,-1.0,2.0,-1.0,1.0,0.0,1.0,0.0,25.728207,3.0,54.754213,0.0,58.408258,1.0,24.887373,1434461.0
84,1848823807.0,2.0,4.0,53.0,5.0,106.867728,-1.0,-1.0,55.194201,1.0,0.0,1.0,0.0,117.688478,1.0,112.204225,0.0,13.643248,1.0,7.331488,995384.0
85,1848823811.0,4.0,2.0,76.0,9.0,84.490468,-1.0,2.0,-1.0,2.0,-1.0,0.0,0.0,95.46071,-1.0,60.125968,0.0,57.461829,0.0,47.483615,1172013.0
