,House ID,bathrooms,bedrooms,blessings,builder,capital_distance,date,dining_rooms,dock_distance,farm,garden,holy_tree,king_visited,knights_house_distance,location,market_distance,renovation,river_distance,sorceror_cursed,tower_distance
0,1848823488.0,-1.0,4.0,160.0,1.0,0.256239,-1.0,3.0,138.600639,1.0,0.0,1.0,0.0,10.505662,4.0,69.486467,0.0,63.109038,1.0,14.394903
0,1848823492.0,-1.0,4.0,133.0,8.0,26.882222,-1.0,2.0,16.254871,0.0,1.0,-1.0,-1.0,37.249456,3.0,34.145238,0.0,53.249336,1.0,101.052598
0,1848823497.0,2.0,-1.0,24.0,-1.0,136.448973,-1.0,3.0,6.555428,1.0,0.0,1.0,0.0,146.553349,-1.0,78.445508,0.0,72.245533,1.0,88.480988
0,1848823502.0,2.0,2.0,140.0,4.0,19.885265,-1.0,2.0,79.72455,1.0,0.0,-1.0,0.0,29.921162,3.0,92.698917,0.0,8.059939,1.0,22.395136
0,1848823505.0,2.0,2.0,159.0,3.0,0.519507,-1.0,3.0,101.541256,2.0,0.0,1.0,0.0,10.85578,3.0,3.605055,0.0,35.706541,1.0,81.449646
1,1848823507.0,4.0,2.0,152.0,3.0,7.575922,-1.0,-1.0,48.601612,1.0,0.0,1.0,0.0,18.378692,4.0,32.236989,0.0,72.111768,1.0,47.180399
0,1848823509.0,2.0,2.0,158.0,9.0,1.95597,-1.0,3.0,32.624227,2.0,0.0,1.0,0.0,12.389964,2.0,88.485147,0.0,33.929217,1.0,77.692256
0,1848823511.0,3.0,3.0,144.0,2.0,15.776747,-1.0,-1.0,84.170405,2.0,0.0,1.0,0.0,26.231919,2.0,62.816373,0.0,27.379252,1.0,51.870346
1,1848823514.0,3.0,3.0,37.0,1.0,122.930753,-1.0,4.0,10.998322,2.0,0.0,1.0,0.0,132.934312,3.0,63.794375,0.0,17.045949,1.0,53.019891
0,1848823517.0,3.0,3.0,157.0,0.0,2.809867,-1.0,3.0,60.265361,1.0,0.0,1.0,0.0,13.188134,2.0,23.701329,-1.0,36.93498,1.0,89.658984
1,1848823519.0,2.0,2.0,157.0,8.0,2.738666,-1.0,3.0,11.938817,1.0,0.0,-1.0,0.0,13.151035,2.0,5.58977,1.0,17.666228,1.0,12.033816
1,1848823524.0,2.0,3.0,160.0,9.0,0.212412,-1.0,4.0,13.986232,2.0,0.0,1.0,0.0,10.794902,3.0,20.485516,0.0,78.94806,1.0,138.362509
1,1848823529.0,4.0,3.0,155.0,-1.0,5.128739,-1.0,2.0,38.977167,1.0,-1.0,-1.0,0.0,15.41681,4.0,44.068565,0.0,20.965323,1.0,152.377106
2,1848823531.0,4.0,2.0,74.0,-1.0,85.723029,-1.0,2.0,135.364314,1.0,0.0,-1.0,0.0,96.158416,3.0,-1.0,0.0,19.19682,1.0,48.236597
0,1848823533.0,3.0,2.0,135.0,7.0,24.762207,-1.0,4.0,23.614598,1.0,0.0,1.0,0.0,35.537406,3.0,84.008876,0.0,7.69931,1.0,-1.0
2,1848823539.0,2.0,4.0,137.0,9.0,23.338276,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,34.143765,1.0,126.491446,0.0,0.630053,1.0,128.876997
2,1848823545.0,2.0,4.0,92.0,8.0,68.371189,-1.0,-1.0,35.488288,1.0,0.0,0.0,0.0,78.519339,1.0,44.62349,0.0,37.27244,0.0,20.89483
1,1848823548.0,4.0,3.0,93.0,2.0,67.341891,-1.0,4.0,57.719253,1.0,0.0,1.0,0.0,77.701631,2.0,-1.0,0.0,71.789958,1.0,119.177337
2,1848823550.0,4.0,3.0,93.0,3.0,66.593962,-1.0,3.0,43.15605,1.0,0.0,1.0,0.0,77.473677,3.0,16.472091,1.0,42.888742,1.0,62.472761
3,1848823553.0,2.0,2.0,108.0,8.0,52.209955,-1.0,4.0,81.58993,1.0,0.0,1.0,0.0,62.646237,-1.0,2.228096,1.0,10.558469,1.0,125.088833
3,1848823559.0,4.0,4.0,139.0,3.0,20.748392,-1.0,4.0,-1.0,1.0,0.0,-1.0,0.0,31.432421,4.0,70.848219,0.0,16.919434,1.0,69.096122
2,1848823561.0,3.0,2.0,79.0,1.0,80.970959,-1.0,2.0,52.819705,1.0,0.0,1.0,0.0,91.425357,1.0,96.656914,0.0,6.548119,1.0,70.965631
1,1848823566.0,3.0,3.0,94.0,7.0,65.509891,-1.0,2.0,60.198424,2.0,0.0,1.0,0.0,76.231255,3.0,108.357045,0.0,52.220719,1.0,179.275253
1,1848823568.0,3.0,4.0,159.0,0.0,0.531688,-1.0,3.0,31.038516,1.0,0.0,1.0,0.0,11.402158,1.0,115.459079,0.0,53.012429,1.0,117.597482
4,1848823571.0,2.0,2.0,89.0,3.0,70.864401,-1.0,2.0,85.472652,1.0,0.0,1.0,0.0,81.862921,2.0,13.310768,1.0,3.079892,-1.0,21.514952
5,1848823575.0,3.0,2.0,159.0,3.0,1.034696,-1.0,3.0,18.69285,1.0,-1.0,-1.0,0.0,11.447193,1.0,68.243586,0.0,55.267216,1.0,-1.0
2,1848823578.0,3.0,2.0,105.0,7.0,54.728789,-1.0,4.0,11.585549,1.0,0.0,-1.0,0.0,65.333281,3.0,13.620052,0.0,38.447667,1.0,12.494618
1,1848823584.0,4.0,3.0,135.0,4.0,25.106037,-1.0,4.0,145.034612,1.0,0.0,1.0,0.0,36.084848,3.0,141.942752,0.0,21.44816,1.0,24.82466
2,1848823590.0,4.0,4.0,135.0,2.0,25.097674,-1.0,2.0,1.072398,1.0,0.0,1.0,0.0,35.225807,3.0,60.114222,0.0,46.328111,1.0,143.926651
6,1848823594.0,4.0,4.0,143.0,3.0,16.519207,-1.0,3.0,27.395888,1.0,0.0,1.0,0.0,26.808392,-1.0,21.911712,-1.0,10.327582,1.0,36.647534
7,1848823599.0,4.0,4.0,100.0,3.0,60.315918,-1.0,3.0,83.884547,0.0,1.0,1.0,-1.0,70.653917,3.0,74.440462,1.0,3.659866,1.0,14.186489
8,1848823602.0,3.0,4.0,34.0,3.0,125.909425,-1.0,4.0,14.335892,1.0,0.0,0.0,0.0,136.481039,1.0,13.760539,0.0,14.833137,0.0,14.041083
0,1848823605.0,4.0,4.0,145.0,6.0,14.771254,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,25.249336,3.0,47.208782,0.0,57.998381,1.0,143.697581
9,1848823607.0,4.0,2.0,151.0,3.0,8.87772,-1.0,3.0,26.56988,1.0,0.0,1.0,0.0,19.658196,3.0,132.820614,0.0,35.378385,1.0,78.734685
